City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mantua,45.17,10.78,84.99,48,79,3.0,IT,1590244146
1,mataura,-46.19,168.86,46.02,89,100,2.62,NZ,1590244146
2,tocopilla,-22.09,-70.2,70.02,42,5,1.92,CL,1590244146
3,qaanaaq,77.48,-69.36,31.37,90,0,3.18,GL,1590244146
4,bilibino,68.05,166.44,26.24,92,82,2.33,RU,1590244147
5,henties bay,-22.12,14.28,72.0,56,0,8.99,NA,1590244147
6,avarua,-21.21,-159.78,78.8,83,100,16.11,CK,1590244147
7,lebu,-37.62,-73.65,53.53,57,100,5.03,CL,1590244147
8,carnarvon,-24.87,113.63,71.73,48,96,17.74,AU,1590243863
9,ancud,-41.87,-73.82,52.0,100,90,13.87,CL,1590244147
10,lasa,46.62,10.7,64.4,59,5,10.29,IT,1590244147
11,pimenteiras,-6.25,-41.42,85.71,58,26,7.43,BR,1590244147
12,saint george,37.1,-113.58,61.0,44,1,10.29,US,1590244147
13,jamestown,42.1,-79.24,61.0,100,90,5.82,US,1590243885
14,trairi,-3.28,-39.27,81.72,87,28,7.65,BR,1590244148
15,victoria,22.29,114.16,78.01,78,89,10.0,HK,1590244104
16,salt,32.04,35.73,75.2,38,20,13.87,JO,1590244148
17,necochea,-38.55,-58.74,46.0,89,55,4.0,AR,1590244148
18,raudeberg,61.99,5.14,57.99,62,1,31.09,NO,1590244148
19,bredasdorp,-34.53,20.04,73.4,4,0,13.87,ZA,1590244148
20,kodiak,57.79,-152.41,42.8,87,90,5.01,US,1590244148
21,tuatapere,-46.13,167.68,48.78,79,100,4.0,NZ,1590244148
22,barrow,71.29,-156.79,30.2,86,20,16.11,US,1590244148
23,jacareacanga,-6.22,-57.75,88.79,58,84,4.32,BR,1590244148
24,college,64.86,-147.8,48.99,70,75,3.36,US,1590244148
25,chipinge,-20.19,32.62,66.63,49,29,6.17,ZW,1590244149
26,tuktoyaktuk,69.45,-133.04,28.4,86,5,11.41,CA,1590244149
27,saskylakh,71.92,114.08,49.33,82,0,7.29,RU,1590244149
28,zhangye,38.93,100.45,62.85,38,90,4.32,CN,1590244149
29,zheleznodorozhnyy,55.75,38.0,50.0,66,75,2.24,RU,1590244149
30,alice springs,-23.7,133.88,44.6,48,0,8.01,AU,1590244108
31,baykit,61.67,96.37,69.76,32,0,2.01,RU,1590244149
32,ushuaia,-54.8,-68.3,42.8,87,75,2.24,AR,1590243868
33,namibe,-15.2,12.15,84.16,48,6,10.71,AO,1590244149
34,busselton,-33.65,115.33,62.01,34,49,12.59,AU,1590244149
35,vila franca do campo,37.72,-25.43,64.4,100,75,6.93,PT,1590244149
36,port hedland,-20.32,118.57,59.0,58,0,8.05,AU,1590244150
37,hithadhoo,-0.6,73.08,84.38,75,100,11.48,MV,1590244150
38,den helder,52.96,4.76,64.0,67,20,23.04,NL,1590244140
39,port blair,11.67,92.75,84.43,77,100,5.35,IN,1590244150
40,sisimiut,66.94,-53.67,41.07,69,0,12.19,GL,1590244150
41,kloulklubed,7.04,134.26,80.6,83,90,5.82,PW,1590244150
42,rikitea,-23.12,-134.97,71.26,63,44,19.86,PF,1590244150
43,bethel,41.37,-73.41,66.2,88,90,4.7,US,1590244150
44,albany,42.6,-73.97,73.4,69,75,8.05,US,1590243967
45,aksu,41.12,80.26,78.69,17,0,4.72,CN,1590244150
46,tiksi,71.69,128.87,37.36,93,99,8.05,RU,1590244151
47,bluff,-46.6,168.33,49.23,81,100,6.02,NZ,1590244151
48,rochegda,62.8,43.25,43.18,62,97,4.81,RU,1590244151
49,hobart,-42.88,147.33,50.0,61,90,10.29,AU,1590244002
50,kapaa,22.08,-159.32,73.4,88,20,12.75,US,1590244151
51,cayenne,4.93,-52.33,86.0,66,90,11.41,GF,1590244151
52,opuwo,-18.06,13.84,82.17,21,0,10.09,NA,1590244151
53,east london,-33.02,27.91,68.0,56,0,4.7,ZA,1590244151
54,taoudenni,22.68,-3.98,99.3,9,0,18.3,ML,1590244151
55,caravelas,-17.71,-39.25,83.89,64,21,2.8,BR,1590244151
56,north myrtle beach,33.82,-78.68,82.0,74,1,3.36,US,1590244152
